Sentence	Label
Hai mai pensato di fare un viaggio in mongolfiera?	Generale
come la genetica può influenzare il mio rischio di cancro?	Generale
ho fatto delle misurazioni e quello che ho rilevato è una pressione di 130/90	inserDatiPress
Ho avuto un po’ di affanno dopo una breve passeggiata, dovrei preoccuparmi?	Umore
Battito cardiaco: 65	inserDatiFreq
Fornisci tutte le mie misurazioni sulla frequenza cardiaca?	Richiesta
Pressione sanguigna: 130/80, ho un battito di 265	inserDatiTot
Sto cercando di ridurre lo stress attraverso tecniche di rilassamento come lo yoga e la meditazione.	inserDatiGener
Mi spieghi come fare	Generale
Ho notato che la mia pressione sanguigna scende quando dormo bene.	inserDatiGener
Ho accompagnato i miei figli a scuola.	Generale
Media frequenza scorsa settimana	Richiesta
Sono esposto al fumo di terza mano a casa	inserDatiGener
quale è la tua canzone preferita al momento?	Generale
ecco le mie misurazioni. Pressione 110/80	inserDatiPress
come la razza può influenzare l’ipertensione?	Generale
Mi piacerebbe controllare le ultime letture della pressione che ho registrato.	Richiesta
100	inserDatiFreq
Posso inserire i dati della mia pressione sanguigna di ieri?	Generale
come il fumo può influenzare le mie malattie cardiache?	Generale
Quali sono le opzioni di trattamento farmacologico per l’ansia?	Generale
Potresti spiegarmi come l’ipertensione può influenzare la mia salute?	Generale
Media frequenza ultimi sei mesi	Richiesta
la mia pressione sanguigna attuale è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultimo mese?	Richiesta
Arrivederci, assistente! Grazie per avermi aiutato a gestire la mia ipertensione oggi.	Generale
Quali sono i sintomi della depressione?	Generale
ho notato che la mia pressione sanguigna aumenta quando sono stressato.	inserDatiGener
Sono un fumatore passivo	inserDatiGener
Qual è la mia media di frequenza cardiaca della scorsa settimana?	Richiesta
Mi sento molto debole, cosa mi consigli?	Umore
Ho una storia familiare di malattie renali	inserDatiGener
come il clima può influenzare l’ipertensione?	Generale
addio, assistente! grazie per avermi fornito informazioni preziose sulla mia ipertensione.	Generale
Qual è il tuo museo d’arte preferito?	Generale
hai mai provato a fare yoga?	Generale
Ho 45 anni e non ho mai fatto attività fisica.	inserDatiGener
La mia ultima misurazione mostra una pressione sanguigna di 135/85 mmHg.	inserDatiPress
mi fornisci un grafico contenente tutti i dati sulla pressione e sulla frequenza	Richiesta
La mia pressione è 140/70	inserDatiPress
sono molto rilassato riguardo alla mia ipertensione.	Umore
Mi piacerebbe controllare i dati che ho registrato nell’ultima settimana.	Richiesta
ho notato che la mia pressione sanguigna aumenta quando sono nervoso.	inserDatiGener
Media frequenza ultimi dodici mesi	Richiesta
Media pressione ultime quattro settimane	Richiesta
Valori pressione: 110/70, frequenza del polso: 65	inserDatiTot
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi dodici mesi?	Richiesta
Pressione: 120/70 mmHg	inserDatiPress
Potresti mostrarmi le mie misurazioni della pressione sanguigna dell’ultima settimana?	Richiesta
Desidero consultare tutte le mie letture della frequenza cardiaca.	Richiesta
Ho l’asma	inserDatiGener
quale è la tua band preferita?	Generale
La mia pressione sanguigna è 110/75, ho un battito di 100	inserDatiTot
Salve, come puoi aiutarmi?	Generale
Ho un’allergia al glutine	inserDatiGener
il mio andamento medio è regolare?	Richiesta
misurazioni della pressione sanguigna dell’ultima settimana in un grafico	Richiesta
La mia pressione sistolica è 110 e la diastolica è 75	inserDatiPress
La mia frequenza cardiaca è di 70 bpm, secondo l’ultima misurazione.	inserDatiFreq
Sono vegetariano	inserDatiGener
Vorrei vedere un elenco di tutte le informazioni che ho fornito finora.	Richiesta
Sono un po’ preoccupato, la mia pressione sanguigna è stata instabile ultimamente.	Umore
voglio inserirti i dati relativi alla mia pressione.	Generale
come la contraccezione ormonale può influenzare l’ipertensione?	Generale
Potrei controllare le ultime misurazioni della pressione che ho registrato nell’ultimo mese?	Richiesta
come l’esercizio fisico può aiutare a gestire il mio diabete?	Generale
Posso avere un riassunto delle informazioni che ho fornito?	Richiesta
Ho appena controllato il battito, è 155 bpm	inserDatiFreq
Dammi le medie	Richiesta
Qual è la mia media di pressione sanguigna del mese scorso?	Richiesta
ho paura che la mia ipertensione possa causare problemi di respirazione.	Umore
I miei valori di pressione: 130/80	inserDatiPress
Qual è la mia media di frequenza cardiaca degli ultimi 365 giorni?	Richiesta
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi 30 giorni?	Richiesta
Potrei vedere le ultime misurazioni della frequenza che ho registrato nell’ultimo mese?	Richiesta
come il caffè può influenzare l’ipertensione?	Generale
come una dieta sana può aiutare a gestire il mio peso?	Generale
come lo stress può influenzare l’ipertensione?	Generale
hai mai provato a fare paracadutismo?	Generale
Ho iniziato a meditare per aiutare a gestire lo stress.	inserDatiGener
puoi fornirmi tutti i dati registrati sulla pressione e sulla frequenza?	Richiesta
mi sento molto sereno riguardo alla mia ipertensione.	Umore
Ho il diabete	inserDatiGener
la mia pressione sanguigna è 120/80.	inserDatiPress
Ho fatto le analisi del sangue e ho il valore X fuori range	Generale
Potrei vedere le ultime misurazioni della pressione che ho registrato?	Richiesta
Bevo alcol solo con moderazione per evitare picchi di pressione sanguigna.	inserDatiGener
we, assistente! Spero tu possa aiutarmi oggi con la mia ipertensione.	Generale
Mi sento molto rilassato e la mia pressione sanguigna è ottima.	Umore
La pressione è 145/95, battito cardiaco: 135	inserDatiTot
Mi piacerebbe esaminare tutte le letture che ho registrato.	Richiesta
come il caffè può influenzare il mio sonno?	Generale
Vorrei dare un’occhiata alle misurazioni che ho fatto nell’ultimo mese.	Richiesta
Hai mai provato a fare surf?	Generale
Desidero consultare le mie letture più recenti.	Richiesta
Qual è la mia media di pressione sanguigna di oggi?	Richiesta
Mi sento molto preoccupato per la mia pressione alta.	Umore
Sto cercando di dormire almeno 8 ore a notte per mantenere la mia pressione sanguigna sotto controllo.	inserDatiGener
Qual è la mia media di frequenza cardiaca di questa settimana?	Richiesta
vorrei registrare i miei sintomi di oggi.	Generale
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 72.	inserDatiTot
Potresti mostrarmi le mie misurazioni della pressione dell’ultimo mese?	Richiesta
Potresti aggiungere le mie recenti letture della pressione arteriosa al mio profilo?	Generale
Ho avuto un episodio di mancanza di respiro ieri.	inserDatiGener
La pressione è 130/70, battito cardiaco: 295	inserDatiTot
Posso vedere un riassunto dei miei dati inseriti su di me in passato?	Richiesta
posso aggiungere i dati della mia pressione sanguigna dell’anno scorso?	Generale
Media dei miei dati	Richiesta
Qual è il miglior modo per effettuare una corretta misurazione delle pressione?	Generale
Qual è il tuo sport preferito?	Generale
La mia pressione sanguigna è 130/85.	inserDatiPress
Potresti mostrarmi tutte le mie misurazioni della frequenza cardiaca?	Richiesta
Mi piacerebbe esaminare i dati sulla frequenza cardiaca che ho registrato nell’ultimo mese.	Richiesta
Ho la pelle molto secca	Generale
Qual è la mia ultima statistica registrata?	Richiesta
Mi sento molto sereno riguardo alla mia ipertensione.	Umore
Frequenza del polso: 70 bpm	inserDatiFreq
Pressione: 130/70 mmHg	inserDatiPress
La mia pressione oggi è 130/90 e la mia frequenza cardiaca è 90 bpm.	inserDatiTot
Posso avere la media delle mie misurazioni degli ultimi nove mesi?	Richiesta
Ho avuto problemi di vista.	Generale
Posso vedere un riassunto di tutte le informazioni che ho fornito in passato?	Richiesta
Pressione sistolica 135, diastolica 80	inserDatiPress
Ho un lavoro fisicamente attivo	inserDatiGener
Voglio i dati sulla pressione	Richiesta
Sono molto preoccupato per i miei livelli di pressione sanguigna.	Umore
ho iniziato una nuova dieta ricca di fibre.	inserDatiGener
Media pressione questo mese	Richiesta
posso registrare i dati della mia frequenza cardiaca del prossimo anno?	Generale
La mia pressione stamattina era alta	Umore
come la razza può influenzare il mio rischio di malattie cardiache?	Generale
Pressione 120/80, frequenza cardiaca: 72 bpm	inserDatiTot
120 su 80	inserDatiPress
sono molto calmo riguardo alla mia pressione alta.	Umore
I miei valori di pressione sono 134 67	inserDatiPress
Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito nell’ultima settimana.	Richiesta
La mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
Potresti mostrarmi le mie misurazioni della pressione dell’ultima settimana?	Richiesta
Se ho un paziente iperteso, aumenta molto il mio rischio di sviluppare ipertensione?	Generale
Vorrei vedere le letture più recenti della pressione che ho registrato.	Richiesta
Qual è la mia ultima misurazione visualizzata in un grafico?	Richiesta
Ho smesso di bere bevande energetiche da un mese.	inserDatiGener
Qual è la mia media di frequenza cardiaca del mese scorso?	Richiesta
Qual è la mia media di pressione sanguigna delle ultime 24 ore?	Richiesta
posso registrare i dati della mia frequenza cardiaca di quest’anno?	Generale
ho paura che la mia pressione alta possa causare problemi alla vista.	Umore
Ho iniziato una nuova dieta ricca di frutta e verdura.	inserDatiGener
Dammi i dati	Richiesta
Sono una persona sbadata	Generale
Pressione misurata: 140/85, frequenza cardiaca: 275	inserDatiTot
Ho due fratelli	inserDatiGener
ho paura che la mia ipertensione possa causare problemi di memoria.	Umore
Potrei vedere le ultime misurazioni del ritmo cardiaco che ho registrato nell’ultima settimana?	Richiesta
Sono sempre stanca e affannata	inserDatiGener
Qual è il tuo genere di film preferito?	Generale
Ho appena fatto la misurazione, la pressione è 130/70, ho un battito di 235	inserDatiTot
Vorrei vedere le letture della pressione che ho registrato nell’ultimo mese.	Richiesta
Sono molto pacifico riguardo alla mia ipertensione.	Umore
Ho una pressione di 120/80, battito cardiaco: 110	inserDatiTot
Ho iniziato a fare esercizio fisico regolarmente.	inserDatiGener
Ho qualche misura di pressione alta ogni tanto, ma immagino sia normale	Umore
Ho una pressione di 120/80	inserDatiPress
Mi piacerebbe esaminare i dati più recenti che ho registrato.	Richiesta
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi sei mesi?	Richiesta
Qual è la mia media di frequenza cardiaca degli ultimi 7 giorni?	Richiesta
Come l’ipertensione può influenzare la mia vita quotidiana?	Generale
vorrei registrare la mia ultima frequenza	Generale
Sono molto calmo riguardo alla mia ipertensione.	Umore
Sono un donatore di organi registrato	inserDatiGener
Posso avere un elenco di tutte le informazioni che ho inserito in passato?	Richiesta
posso registrare i dettagli del mio consumo di tabacco?	Generale
a presto, assistente! spero che tu possa continuare ad aiutarmi a gestire la mia ipertensione.	Generale
100 70	inserDatiPress
Pressione sanguigna registrata: 140/90	inserDatiPress
Ho un battito di 170 bpm	inserDatiFreq
L'ipertensione ha conseguenze sui polmoni?	Generale
Ecco i miei dati di oggi: la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
La pressione sistolica è 125 e la diastolica è 75, frequenza del polso: 260	inserDatiTot
Qual è la media delle mie misurazioni degli ultimi 7 giorni?	Richiesta
Media frequenza ultime due settimane	Richiesta
Vorrei vedere tutte le misurazioni che ho inserito.	Richiesta
ho smesso di fumare da un mese.	inserDatiGener
ho appena fatto un controllo, il mio polso è 70.	inserDatiFreq
Qual è l'andamento dei miei dati nella settimana	Richiesta
Vorrei rivedere i dati più recenti che ho inserito.	Richiesta
Qual è la mia media di pressione sanguigna degli ultimi 30 giorni?	Richiesta
Voglio la media dei dati registrati sulla frequenza	Richiesta
Desidero visualizzare tutti i miei dati sulla frequenza.	Richiesta
Non mi sento molto bene, la mia frequenza cardiaca è più alta del solito.	Umore
Pressione 120 80	inserDatiPress
ho appena misurato la mia frequenza cardiaca, è 75 battiti al minuto.	inserDatiFreq
Frequenza cardiaca di 100	inserDatiFreq
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana in un grafico?	Richiesta
posso aggiungere i dati della mia pressione sanguigna del prossimo anno?	Generale
Pressione: 145/95 mmHg	inserDatiPress
Vorrei vedere un elenco di tutte le informazioni che ho dato.	Richiesta
buonasera, assistente! spero che tu possa darmi qualche consiglio su come rilassarmi per gestire la mia ipertensione.	Generale
Frequenza del polso: 105 bpm	inserDatiFreq
Qual è la mia media di frequenza cardiaca delle ultime tre settimane?	Richiesta
Vorrei vedere tutte le informazioni che ho dato finora.	Richiesta
Mi piacerebbe esaminare i dati sulla pressione che ho registrato nell’ultimo mese.	Richiesta
Frequenza cardiaca in arrivo... X bpm.	inserDatiFreq
Vorrei dare un’occhiata alle letture che ho inserito negli ultimi 7 giorni.	Richiesta
ho smesso di bere caffè da una settimana.	inserDatiGener
Qual è la mia media di pressione sanguigna degli ultimi 365 giorni?	Richiesta
Dammi i dati sulla pressione	Richiesta
Ho avuto un episodio di sudorazione eccessiva la scorsa notte.	inserDatiGener
Qual è la media delle mie misurazioni degli ultimi 365 giorni?	Richiesta
Ciao, come stai?	Generale
posso aggiungere i dati della mia pressione sanguigna di questa mattina?	Generale
La mia pressione sanguigna è 130/80 e il mio battito cardiaco è 72.	inserDatiTot
sono molto stressato a causa della mia pressione alta.	Umore
Qual è la mia media di pressione sanguigna delle ultime quattro settimane?	Richiesta
ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.	inserDatiTot
ho misurato la frequenza ed è di 80	inserDatiFreq
La mia frequenza cardiaca oggi è 75 bpm.	inserDatiFreq
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi tre anni?	Richiesta
Frequenza cardiaca: 210 bpm	inserDatiFreq
Sono un fumatore	inserDatiGener
Qual è la mia ultima misurazione della frequenza cardiaca visualizzata?	Richiesta
Frequenza del polso: 225 bpm	inserDatiFreq
Mi piacerebbe esaminare i dati sulla pressione che ho registrato negli ultimi 7 giorni.	Richiesta
Parliamo del tempo, che ne pensi?	Generale
Potrei controllare le ultime misurazioni della frequenza cardiaca che ho registrato nell’ultimo mese?	Richiesta
Ho appena controllato il battito, è 275 bpm	inserDatiFreq
Dammi il grafico con andamento di pressione arteriosa nell'ultima settimana	Richiesta
ti fornisco i dati relativi alle mie ultime misurazioni. Pressione 120/85 e frequenza 80 bpm	inserDatiTot
Pressione sanguigna attuale: 135/85	inserDatiPress
Mi piacerebbe esaminare i dati sulla frequenza che ho registrato nell’ultima settimana.	Richiesta
Qual è il tuo compositore classico preferito?	Generale
Come posso prevenire le malattie cardiache?	Generale
Ho appena fatto un controllo, la mia pressione è 135/85 e il mio polso è 70.	inserDatiTot
Come si fa	Generale
Sono un nuotatore professionista	inserDatiGener
Mi sento un po’ stanco e ho notato che la mia pressione sanguigna è più alta del solito.	Umore
Fumo molto	inserDatiGener
Come l’asma può influenzare la mia vita quotidiana?	Generale
come il colesterolo può influenzare l’ipertensione?	Generale
Quant è importante tenere sotto traccia l'ipertensione?	Generale
Il mio battito cardiaco è 80 battiti al minuto.	inserDatiFreq
Ho notato che sto dormendo meglio da quando ho iniziato la nuova dieta.	Umore
non sono stressato per la mia pressione alta.	Umore
non ho paura della mia pressione alta.	Umore
Quali sono stati i valori sulla frequenza cardiaca nell'ultimo mese	Richiesta
Pressione 100 70 Frequenza 110	inserDatiTot
ciao, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.	Generale
Pressione sistolica 135, diastolica 80, ho un battito di 250	inserDatiTot
Quali sono le possibili conseguenze associate all'ipertensione?	Generale
Dammi i dati della frequenza cardiaca nell’ultimo mese	Richiesta
Pressione sanguigna registrata: 125/75	inserDatiPress
Desidero visualizzare le mie letture dell’ultimo mese.	Richiesta
La pressione è 145/95	inserDatiPress
Posso vedere un riassunto di tutte le informazioni che ho fornito finora?	Richiesta
I miei valori di pressione: 130/80, battito cardiaco: 85	inserDatiTot
Posso vedere un riassunto di tutte le informazioni che ho fornito?	Richiesta
Bevo molta acqua ogni giorno	inserDatiGener
Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito negli ultimi sette giorni.	Richiesta
vorrei aggiungere i dettagli del mio consumo di caffeina.	Generale
Vorrei vedere le letture della frequenza che ho registrato negli ultimi sette giorni.	Richiesta
La mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
la mia pressione oggi è 134 76	inserDatiPress
Vorrei rivedere le letture che ho inserito nell’ultima settimana.	Richiesta
Dammi le informazioni personali	Richiesta
Ho misurato la frequenza ed è 80 bpm.	inserDatiFreq
Che tipo di musica ti piace ascoltare?	Generale
Pressione: 120/80 mmHg	inserDatiPress
Pratico yoga ogni giorno	inserDatiGener
Pressione sanguigna: 125/75, ho un battito di 80	inserDatiTot
qual è il tuo periodo storico preferito?	Generale
La mia pressione sanguigna è X/Y e il mio battito cardiaco è 75.	inserDatiTot
Ho notato che il mio livello di stress è aumentato ultimamente.	inserDatiGener
Sono molto nervoso per la mia ipertensione.	Umore
La mia pressione sistolica è 125 e la diastolica è 75, frequenza del polso: 200	inserDatiTot
Pressione sanguigna registrata: 125/75, frequenza del polso: 140	inserDatiTot
come la gravidanza può influenzare l’ipertensione?	Generale
sono molto tranquillo riguardo alla mia pressione alta.	Umore
Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito.	Richiesta
non ho nervosismo per la mia ipertensione.	Umore
Ho paura che la mia pressione alta possa causare problemi seri.	Umore
Qual è la mia media di frequenza cardiaca degli ultimi sei mesi?	Richiesta
Vorrei rivedere i dati più recenti sulla pressione che ho inserito.	Richiesta
Cosa causa l’ipertensione?	Generale
Fammi il resoconto dell'ultima settimana	Richiesta
quali sono i sintomi dell’ipertensione?	Generale
Vorrei vedere tutte le letture della pressione che ho registrato.	Richiesta
che tipo di musica ti piace ascoltare?	Generale
La mia frequenza è 80	inserDatiFreq
ho appena controllato, la mia pressione è 140/85.	inserDatiPress
Potrei controllare tutte le misurazioni della pressione che ho registrato?	Richiesta
vorrei la mia frequenza cardiaca media dell'ultima settimana	Richiesta
Vorrei rivedere tutte le letture che ho inserito.	Richiesta
La mia frequenza cardiaca oggi è 72 battiti al minuto.	inserDatiFreq
Mi piacerebbe esaminare i dati più recenti sulla pressione che ho registrato.	Richiesta
non sono stressato per la mia ipertensione.	Umore
Pressione sistolica 120, diastolica 80	inserDatiPress
La mia pressione è 120/70	inserDatiPress
Dammi il valor medio di pressione nell'ultima settimana	Richiesta
Ho fatto un incidente da giovane.	inserDatiGener
Quali sono i fattori di rischio per l’ipertensione?	Generale
A presto, assistente! Spero tu possa continuare ad aiutarmi a gestire la mia ipertensione.	Generale
Potresti mostrarmi con un immagine le misurazioni della frequenza cardiaca dell’ultima settimana?	Richiesta
Media frequenza ultimi 30 giorni	Richiesta
Dammi dati sulla frequenza	Richiesta
quali sono i rischi per la salute associati all’ipertensione?	Generale
ho avuto un episodio di nausea questa mattina.	inserDatiGener
Il mio polso è di 240 battiti al minuto	inserDatiFreq
mi sento molto rilassato riguardo alla mia ipertensione.	Umore
120 78	inserDatiPress
Soffro di ansia	inserDatiGener
quali sono i fattori di rischio per l’osteoporosi?	Generale
mostra i dati su frequenza e pressione più recenti	Richiesta
Frequenza cardiaca misurata: 200 bpm	inserDatiFreq
Posso inserire i dati della mia pressione sanguigna di questo mese?	Generale
Sto cercando di limitare la caffeina per evitare picchi di pressione sanguigna.	inserDatiGener
Posso avere la media delle mie misurazioni di ieri?	Richiesta
vorrei le letture su frequenza e pressione delle ultime due settimane	Richiesta
Hai mai provato a fare sci di fondo?	Generale
Ho appena controllato il battito, è 215 bpm	inserDatiFreq
Bevo alcol regolarmente	inserDatiGener
ultima misurazione della frequenza cardiaca	Richiesta
Voglio la media dei miei dati registrati	Richiesta
quale è la tua città preferita in italia?	Generale
Qual è la mia media di pressione sanguigna e frequenza cardiaca di ieri?	Richiesta
Mi sento un po’ debole e la mia pressione sanguigna è alta, dovrei andare al pronto soccorso?	Umore
Posso vedere la media delle mie misurazioni degli ultimi 30 giorni?	Richiesta
posso inserire i dettagli sulla mia condizione fisica?	Generale
La frequenza cardiaca è 80	inserDatiFreq
Sono rilassato e la mia pressione sanguigna è rimasta costante per tutta la settimana.	Umore
Pressione sanguigna registrata: 110/75, ho un battito di 220	inserDatiTot
Ho 4 figli	inserDatiGener
sono molto preoccupato per i miei livelli di pressione sanguigna.	Umore
Media pressione ultime 24 ore	Richiesta
Ho notato che la mia pressione sanguigna scende quando sono felice.	inserDatiGener
Pressione sanguigna attuale: 130/80, ho un battito di 205	inserDatiTot
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi 365 giorni?	Richiesta
Come posso gestire il mio diabete?	Generale
Mi sento molto bene oggi, la mia pressione sanguigna è stabile.	Umore
Qual è la mia media di pressione sanguigna degli ultimi dodici mesi?	Richiesta
La mia frequenza cardiaca attuale è 68 battiti al minuto.	inserDatiFreq
Ho notato che la mia pressione sanguigna e frequenza cardiaca sono di 135/80 mmHg e 73 bpm.	inserDatiTot
Non bevo alcol	inserDatiGener
ho paura che la mia pressione alta possa causare problemi di sonno.	Umore
ho avuto un episodio di mancanza di respiro ieri.	inserDatiGener
I valori della mia pressione sono 120/80, ho un battito di 290	inserDatiTot
Mi piace la carbonara	Generale
Pressione arteriosa misurata: 110/70	inserDatiPress
Qual è il tuo piatto italiano preferito?	Generale
Buonanotte, è bello fare affidamento su di te	Generale
Pressione sanguigna: 110/70, frequenza cardiaca: 185	inserDatiTot
Pressione misurata: 130/70, frequenza del polso: 115	inserDatiTot
Posso avere un riepilogo di tutte le generalità che ho dato finora?	Richiesta
Desidero visualizzare tutti i miei dati sulla pressione.	Richiesta
ho iniziato a prendere un nuovo farmaco per l’ipertensione.	inserDatiGener
Desidero consultare le mie letture del battito cardiaco dell’ultima settimana.	Richiesta
Frequenza cardiaca: 270 bpm	inserDatiFreq
Mostra in un grafico le misurazioni della frequenza cardiaca dell’ultimo mese	Richiesta
Qual è la media delle mie misurazioni di questa settimana?	Richiesta
ho notato che la mia pressione sanguigna scende quando sono felice.	inserDatiGener
Vorrei vedere un elenco di tutte le informazioni che ho fornito in passato.	Richiesta
Dammi l'ultimo dato sulla frequenza cardiaca	Richiesta
Desidero consultare tutte le mie letture della pressione.	Richiesta
buongiorno, assistente! sono pronto per affrontare la mia ipertensione con il tuo aiuto.	Generale
posso inserire i dettagli del mio consumo di alcol?	Generale
Mi piacerebbe esaminare tutti i dati sulla frequenza  che ho registrato.	Richiesta
78 120 80	inserDatiTot
90	inserDatiFreq
Ho un’allergia alle noci	inserDatiGener
Qual è la mia media di pressione sanguigna e frequenza cardiaca delle ultime 24 ore?	Richiesta
come il sesso può influenzare l’ipertensione?	Generale
La mia pressione sanguigna attuale è 110/75	inserDatiPress
Posso vedere un riassunto dei miei dati inseriti recentemente?	Richiesta
Qual è la mia media di pressione sanguigna e frequenza cardiaca di questo mese?	Richiesta
Qual è la mia media di pressione sanguigna di questo mese?	Richiesta
Che libro stai leggendo al momento?	Generale
Mi piace mangiare la pizza	Generale
130 90 95	inserDatiTot
Frequenza del polso: 130 bpm	inserDatiFreq
Ho un battito di 110 bpm	inserDatiFreq
Frequenza del polso: 165 bpm	inserDatiFreq
Ho registrato un valore di frequenza cardiaca di 75 bpm oggi.	inserDatiFreq
Media frequenza ultime tre settimane	Richiesta
Non ho paura della mia pressione alta.	Umore
hai mai visitato la torre eiffel?	Generale
La mia pressione sistolica è 140 e la diastolica è 90, battito cardiaco: 120	inserDatiTot
Mi piacerebbe controllare le ultime letture che ho registrato.	Richiesta
ho paura che la mia ipertensione possa peggiorare.	Umore
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi 7 giorni?	Richiesta
ho mal di testa posso misurare la pressione?	Generale
Frequenza cardiaca: 90 bpm	inserDatiFreq
Potrei vedere tutte le misurazioni che ho fatto?	Richiesta
Frequenza del polso: 250 bpm	inserDatiFreq
Sono molto stressato a causa della mia ipertensione.	Umore
Posso vedere la media delle mie misurazioni del mese scorso?	Richiesta
posso inserire i dati della mia pressione sanguigna del mese scorso?	Generale
Qual è la mia media di pressione sanguigna delle ultime due settimane?	Richiesta
Ho misurato la pressione: 140/90, battito cardiaco: 80	inserDatiTot
Desidero consultare tutte le mie letture registrate.	Richiesta
alla prossima, assistente! sono entusiasta di continuare a lavorare con te sulla mia ipertensione.	Generale
Vorrei vedere un riepilogo dei miei dati personali.	Richiesta
Mostrami la frequenza nell'ultima settimana	Richiesta
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Ho bisogno di documentare le mie ultime letture della pressione sanguigna.	Generale
Qual è la media delle mie misurazioni dell’anno scorso?	Richiesta
Ho bisogno di inserire i miei ultimi valori di pressione arteriosa.	Generale
Ho una storia familiare di malattie cardiache	inserDatiGener
